"network","p","m","n","epoch","df_correction_method","mean_lambda","mean_df","prop_miss","recall","precision","hamming_distance","shd"
"ecoli",46,100,100,1,"br",0.0382626097975947,90.4270218839133,0.9,0.953488372093023,0.976190476190476,3,10
"ecoli",46,100,100,1,"reiter",0.0382626097975947,93.7576754198047,0.9,0.953488372093023,0.976190476190476,3,10
"ecoli",46,100,100,2,"old",0.0412596704548041,Inf,0.9,0.977272727272727,1,1,9
"ecoli",46,100,100,2,"br",0.0413314048892431,90.1072317793342,0.9,0.954545454545455,1,2,13
"ecoli",46,100,100,2,"reiter",0.0413374952023836,93.720747166147,0.9,0.977272727272727,1,1,9
"ecoli",46,100,100,3,"old",0.0381598300394908,Inf,0.9,0.948717948717949,0.973684210526316,3,6
"ecoli",46,100,100,3,"br",0.0382899072928362,90.4466268871381,0.9,0.948717948717949,0.973684210526316,3,6
"ecoli",46,100,100,3,"reiter",0.0382899072928362,93.7882256593392,0.9,0.948717948717949,0.973684210526316,3,6
"ecoli",46,100,100,4,"old",0.0402033263784157,30095790.8945612,0.9,0.95,1,2,7
"ecoli",46,100,100,4,"br",0.0392552869200721,90.3520461665299,0.9,0.95,1,2,8
"ecoli",46,100,100,4,"reiter",0.0392552869200721,93.7770616279181,0.9,0.95,1,2,8
"ecoli",46,100,100,5,"old",0.0359310629341846,Inf,0.9,0.948717948717949,0.973684210526316,3,8
"ecoli",46,100,100,5,"br",0.0361319782197061,90.6410002839036,0.9,0.948717948717949,0.973684210526316,3,6
"ecoli",46,100,100,5,"reiter",0.0361319782197061,93.7796137919996,0.9,0.948717948717949,0.973684210526316,3,6
"ecoli",46,100,100,6,"old",0.0310223803184678,Inf,0.9,0.977777777777778,0.977777777777778,2,9
"ecoli",46,100,100,6,"br",0.0310571068222151,91.0451471323428,0.9,0.977777777777778,0.977777777777778,2,9
"ecoli",46,100,100,6,"reiter",0.0310571068222151,93.7665579546017,0.9,0.977777777777778,0.977777777777778,2,9
"ecoli",46,100,100,7,"old",0.0408126354169882,Inf,0.9,0.95,1,2,2
"ecoli",46,100,100,7,"br",0.0408420524357666,90.2148973642105,0.9,0.95,1,2,2
"ecoli",46,100,100,7,"reiter",0.0408336429802393,93.7748112916356,0.9,0.95,1,2,2
"ecoli",46,100,100,8,"old",0.0358108185629388,Inf,0.9,0.976190476190476,1,1,2
"ecoli",46,100,100,8,"br",0.0358341014205764,90.6531387481526,0.9,0.976190476190476,1,1,2
"ecoli",46,100,100,8,"reiter",0.0358279951056221,93.7915485077452,0.9,0.976190476190476,1,1,2
"ecoli",46,100,100,9,"old",0.0432195581245942,Inf,0.9,0.973684210526316,0.902439024390244,5,15
"ecoli",46,100,100,9,"br",0.0436336524116043,89.8508194190748,0.9,0.973684210526316,0.948717948717949,3,8
"ecoli",46,100,100,9,"reiter",0.0436336524116043,93.6291775271539,0.9,0.973684210526316,0.948717948717949,3,8
"ecoli",46,100,100,10,"old",0.0406214181294718,Inf,0.9,0.931818181818182,1,3,4
"ecoli",46,100,100,10,"br",0.0407968111431299,90.1212995964616,0.9,0.931818181818182,1,3,4
"ecoli",46,100,100,10,"reiter",0.0407968111431299,93.6366935040052,0.9,0.931818181818182,1,3,4
"ecoli",46,100,25,1,"old",0.0371406546398293,Inf,0.1,0.774193548387097,0.96,8,9
"ecoli",46,100,25,1,"br",0.0335254218593873,19.075253906772,0.1,0.709677419354839,0.956521739130435,10,12
"ecoli",46,100,25,1,"reiter",0.0323069064028821,19.3482749630674,0.1,0.741935483870968,0.92,10,12
"ecoli",46,100,25,2,"old",0.0474852418567445,Inf,0.1,0.878787878787879,0.966666666666667,5,5
"ecoli",46,100,25,2,"br",0.0288068711902936,19.1297579763302,0.1,0.848484848484849,0.903225806451613,8,13
"ecoli",46,100,25,2,"reiter",0.0347565075298837,19.2913026101172,0.1,0.848484848484849,0.903225806451613,8,13
"ecoli",46,100,25,3,"old",0.0124955189675156,Inf,0.1,0.961538461538462,0.925925925925926,3,3
"ecoli",46,100,25,3,"br",0.0130948515514778,19.5152899634774,0.1,0.961538461538462,0.925925925925926,3,3
"ecoli",46,100,25,3,"reiter",0.0130948515514778,19.6395608841771,0.1,0.961538461538462,0.925925925925926,3,3
"ecoli",46,100,25,4,"old",0,Inf,0.1,1,0.892857142857143,3,5
"ecoli",46,100,25,4,"br",0,19.716970428927,0.1,0.96,0.923076923076923,3,5
"ecoli",46,100,25,4,"reiter",0,19.716970428927,0.1,0.96,0.923076923076923,3,5
"ecoli",46,100,25,5,"old",0.0355653150731131,Inf,0.1,0.838709677419355,1,5,6
"ecoli",46,100,25,5,"br",0.0279123921301327,19.2674989616321,0.1,0.741935483870968,1,8,8
"ecoli",46,100,25,5,"reiter",0.0293296196576332,19.3970016808532,0.1,0.741935483870968,0.958333333333333,9,9
"ecoli",46,100,25,6,"old",0,Inf,0.1,1,1,0,0
"ecoli",46,100,25,6,"br",0,19.7001339197395,0.1,0.928571428571429,1,2,2
"ecoli",46,100,25,6,"reiter",0,19.7001339197395,0.1,0.928571428571429,1,2,2
"ecoli",46,100,25,7,"old",0.0348365207130287,Inf,0.1,0.958333333333333,0.92,3,3
"ecoli",46,100,25,7,"br",0.0348112758801839,19.0848814296177,0.1,0.875,0.91304347826087,5,6
"ecoli",46,100,25,7,"reiter",0.0370882456416195,19.349267646865,0.1,0.875,0.91304347826087,5,6
"ecoli",46,100,25,8,"old",0.0613492200625779,Inf,0.1,0.884615384615385,1,3,6
"ecoli",46,100,25,8,"br",0.041339774112961,18.9206948634199,0.1,0.923076923076923,1,2,6
"ecoli",46,100,25,8,"reiter",0.0446682795867177,19.0534209300157,0.1,0.923076923076923,1,2,6
"ecoli",46,100,25,9,"old",0,Inf,0.1,1,1,0,0
"ecoli",46,100,25,9,"br",0,19.6863386936066,0.1,0.928571428571429,0.962962962962963,3,6
"ecoli",46,100,25,9,"reiter",0,19.6863386936066,0.1,0.928571428571429,0.962962962962963,3,6
"ecoli",46,100,25,10,"old",0,Inf,0.1,0.967741935483871,1,1,1
"ecoli",46,100,25,10,"br",0,19.7260409357164,0.1,0.935483870967742,0.966666666666667,3,5
"ecoli",46,100,25,10,"reiter",0,19.7260409357164,0.1,0.935483870967742,0.966666666666667,3,5
"ecoli",46,100,25,1,"old",0.118045693632758,Inf,0.5,0.48,0.75,17,18
"ecoli",46,100,25,1,"br",0.113746224105743,17.548170054,0.5,0.36,0.692307692307692,20,21
"ecoli",46,100,25,1,"reiter",0.117181344452894,18.4552012337405,0.5,0.36,0.75,19,20
"ecoli",46,100,25,2,"old",0.154859545031568,Inf,0.5,0.6,1,12,13
"ecoli",46,100,25,2,"br",0.0978662209956282,17.8775112972599,0.5,0.433333333333333,0.866666666666667,19,24
