"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","number_of_edges_estimated_imp","number_of_edges_estimated_full"
"184",33,1000,100,NA,"old",NA,0.988636363636364,0.97752808988764,3,89,88
"186",33,10,100,NA,"old",NA,1,0.96078431372549,4,102,98
"187",33,100,100,NA,"old",NA,1,0.98,2,100,98
"188",33,1000,100,NA,"old",NA,1,0.96078431372549,4,102,98
"190",33,10,100,NA,"old",NA,0.987179487179487,1,1,77,78
"191",33,100,100,NA,"old",NA,0.974358974358974,1,2,76,78
"192",33,1000,100,NA,"old",NA,0.974358974358974,1,2,76,78
"194",33,10,100,NA,"old",NA,0.98780487804878,0.964285714285714,4,84,82
"195",33,100,100,NA,"old",NA,0.98780487804878,0.98780487804878,2,82,82
"196",33,1000,100,NA,"old",NA,0.98780487804878,0.98780487804878,2,82,82
"198",33,10,100,NA,"old",NA,0.988505747126437,0.966292134831461,4,89,87
"199",33,100,100,NA,"old",NA,0.988505747126437,0.966292134831461,4,89,87
"200",33,1000,100,NA,"old",NA,0.988505747126437,0.966292134831461,4,89,87
"202",33,10,100,NA,"old",NA,0.977011494252874,0.988372093023256,3,86,87
"203",33,100,100,NA,"old",NA,0.977011494252874,0.977011494252874,4,87,87
"204",33,1000,100,NA,"old",NA,0.988505747126437,0.977272727272727,3,88,87
"206",33,10,100,NA,"old",NA,0.973684210526316,0.973684210526316,4,76,76
"207",33,100,100,NA,"old",NA,0.973684210526316,0.986666666666667,3,75,76
"208",33,1000,100,NA,"old",NA,0.973684210526316,0.986666666666667,3,75,76
"210",33,10,100,NA,"old",NA,0.953488372093023,0.953488372093023,8,86,86
"211",33,100,100,NA,"old",NA,0.965116279069767,0.943181818181818,8,88,86
"212",33,1000,100,NA,"old",NA,0.953488372093023,0.942528735632184,9,87,86
"214",33,10,100,NA,"old",NA,0.942857142857143,0.942857142857143,8,70,70
"215",33,100,100,NA,"old",NA,0.942857142857143,0.942857142857143,8,70,70
"216",33,1000,100,NA,"old",NA,0.942857142857143,0.956521739130435,7,69,70
"218",33,10,100,NA,"old",NA,0.944444444444444,0.988372093023256,6,86,90
"219",33,100,100,NA,"old",NA,0.966666666666667,0.988636363636364,4,88,90
"220",33,1000,100,NA,"old",NA,0.966666666666667,0.988636363636364,4,88,90
"222",33,10,100,NA,"old",NA,0.986486486486487,0.986486486486487,2,74,74
"223",33,100,100,NA,"old",NA,0.986486486486487,0.973333333333333,3,75,74
"224",33,1000,100,NA,"old",NA,0.986486486486487,0.973333333333333,3,75,74
"226",33,10,100,NA,"old",NA,0.96078431372549,1,4,98,102
"227",33,100,100,NA,"old",NA,0.970588235294118,1,3,99,102
"228",33,1000,100,NA,"old",NA,0.970588235294118,1,3,99,102
"230",33,10,100,NA,"old",NA,0.985507246376812,0.985507246376812,2,69,69
"231",33,100,100,NA,"old",NA,0.985507246376812,1,1,68,69
"232",33,1000,100,NA,"old",NA,0.985507246376812,1,1,68,69
"234",33,10,100,NA,"old",NA,0.975903614457831,0.964285714285714,5,84,83
"235",33,100,100,NA,"old",NA,0.975903614457831,0.964285714285714,5,84,83
"236",33,1000,100,NA,"old",NA,0.975903614457831,0.964285714285714,5,84,83
"238",33,10,100,NA,"old",NA,0.97752808988764,0.966666666666667,5,90,89
"239",33,100,100,NA,"old",NA,0.97752808988764,0.966666666666667,5,90,89
"240",33,1000,100,NA,"old",NA,0.97752808988764,0.97752808988764,4,89,89
"242",33,10,100,NA,"old",NA,0.989473684210526,0.959183673469388,5,98,95
"243",33,100,100,NA,"old",NA,0.989473684210526,0.959183673469388,5,98,95
"244",33,1000,100,NA,"old",NA,0.989473684210526,0.959183673469388,5,98,95
