"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","number_of_edges_estimated_imp","number_of_edges_estimated_full"
"203",33,100,3000,NA,"br",NA,0.97752808988764,0.97752808988764,4,89,89
"204",33,1000,3000,NA,"br",NA,0.98876404494382,0.967032967032967,4,91,89
"205",33,1,3000,NA,NA,NA,0.95,0.91566265060241,11,83,80
"206",33,10,3000,NA,"br",NA,0.9625,1,3,77,80
"207",33,100,3000,NA,"br",NA,0.9625,0.974683544303797,5,79,80
"208",33,1000,3000,NA,"br",NA,0.9625,0.987179487179487,4,78,80
"209",33,1,3000,NA,NA,NA,0.945054945054945,0.914893617021277,13,94,91
"210",33,10,3000,NA,"br",NA,0.956043956043956,0.966666666666667,7,90,91
"211",33,100,3000,NA,"br",NA,0.967032967032967,0.967032967032967,6,91,91
"212",33,1000,3000,NA,"br",NA,0.956043956043956,0.966666666666667,7,90,91
"213",33,1,3000,NA,NA,NA,0.96,0.947368421052632,7,76,75
"214",33,10,3000,NA,"br",NA,0.946666666666667,0.972602739726027,6,73,75
"215",33,100,3000,NA,"br",NA,0.973333333333333,0.973333333333333,4,75,75
"216",33,1000,3000,NA,"br",NA,0.973333333333333,0.986486486486487,3,74,75
"217",33,1,3000,NA,NA,NA,0.9375,0.957446808510638,10,94,96
"218",33,10,3000,NA,"br",NA,0.958333333333333,0.989247311827957,5,93,96
"219",33,100,3000,NA,"br",NA,0.947916666666667,0.989130434782609,6,92,96
"220",33,1000,3000,NA,"br",NA,0.947916666666667,0.989130434782609,6,92,96
"221",33,1,3000,NA,NA,NA,0.960526315789474,0.901234567901235,11,81,76
"222",33,10,3000,NA,"br",NA,0.973684210526316,0.961038961038961,5,77,76
"223",33,100,3000,NA,"br",NA,0.973684210526316,0.961038961038961,5,77,76
"224",33,1000,3000,NA,"br",NA,0.960526315789474,0.960526315789474,6,76,76
"225",33,1,3000,NA,NA,NA,0.980582524271845,0.971153846153846,5,104,103
"226",33,10,3000,NA,"br",NA,0.970873786407767,0.99009900990099,4,101,103
