"","p","m","n","mean_lambda","df_correction_method","mean_df","recall","precision","hamming_distance","shd"
"108",33,1000,100,NA,"old",NA,0.481481481481481,0.764705882352941,18,22
"109",33,1000,100,NA,"br",NA,0.481481481481481,0.764705882352941,18,22
"110",33,1000,100,NA,"reiter",NA,0.481481481481481,0.764705882352941,18,22
"111",33,1,100,NA,NA,NA,0.3125,0.192307692307692,32,33
"112",33,10,100,NA,"old",NA,0.1875,0.75,14,15
"113",33,10,100,NA,"br",NA,0.4375,0.636363636363636,13,13
"114",33,10,100,NA,"reiter",NA,0.4375,0.636363636363636,13,13
"115",33,100,100,NA,"old",NA,0.25,0.571428571428571,15,16
"116",33,100,100,NA,"br",NA,0.25,0.571428571428571,15,16
"117",33,100,100,NA,"reiter",NA,0.25,0.571428571428571,15,16
"118",33,1000,100,NA,"old",NA,0.25,0.5,16,16
"119",33,1000,100,NA,"br",NA,0.25,0.5,16,16
"120",33,1000,100,NA,"reiter",NA,0.25,0.5,16,16
"121",33,1,100,NA,NA,NA,0.739130434782609,0.5,23,25
"122",33,10,100,NA,"old",NA,0.260869565217391,1,17,19
"123",33,10,100,NA,"br",NA,0.434782608695652,0.909090909090909,14,19
"124",33,10,100,NA,"reiter",NA,0.391304347826087,0.9,15,19
"125",33,100,100,NA,"old",NA,0.434782608695652,0.833333333333333,15,20
"126",33,100,100,NA,"br",NA,0.391304347826087,0.9,15,19
"127",33,100,100,NA,"reiter",NA,0.434782608695652,0.833333333333333,15,20
"128",33,1000,100,NA,"old",NA,0.478260869565217,0.846153846153846,14,20
"129",33,1000,100,NA,"br",NA,0.347826086956522,0.8,17,21
"130",33,1000,100,NA,"reiter",NA,0.347826086956522,0.8,17,21
"131",33,1,100,NA,NA,NA,0.5,0.258064516129032,31,35
"132",33,10,100,NA,"old",NA,0.3125,0.714285714285714,13,15
"133",33,10,100,NA,"br",NA,0.375,0.545454545454545,15,18
"134",33,10,100,NA,"reiter",NA,0.375,0.545454545454545,15,18
"135",33,100,100,NA,"old",NA,0.5,0.8,10,11
"136",33,100,100,NA,"br",NA,0.5,0.727272727272727,11,13
"137",33,100,100,NA,"reiter",NA,0.5,0.8,10,11
"138",33,1000,100,NA,"old",NA,0.375,0.6,14,16
"139",33,1000,100,NA,"br",NA,0.4375,0.636363636363636,13,15
"140",33,1000,100,NA,"reiter",NA,0.4375,0.636363636363636,13,15
"141",33,1,100,NA,NA,NA,0.739130434782609,0.586206896551724,18,21
"142",33,10,100,NA,"old",NA,0.304347826086957,0.777777777777778,18,21
"143",33,10,100,NA,"br",NA,0.478260869565217,0.733333333333333,16,20
"144",33,10,100,NA,"reiter",NA,0.434782608695652,0.666666666666667,18,21
"145",33,100,100,NA,"old",NA,0.565217391304348,0.764705882352941,14,20
"146",33,100,100,NA,"br",NA,0.521739130434783,0.8,14,19
"147",33,100,100,NA,"reiter",NA,0.565217391304348,0.764705882352941,14,20
"148",33,1000,100,NA,"old",NA,0.565217391304348,0.684210526315789,16,20
"149",33,1000,100,NA,"br",NA,0.521739130434783,0.75,15,20
"150",33,1000,100,NA,"reiter",NA,0.608695652173913,0.777777777777778,13,18
"151",33,1,100,NA,NA,NA,0.380952380952381,0.296296296296296,32,35
"152",33,10,100,NA,"old",NA,0.19047619047619,0.8,18,19
"153",33,10,100,NA,"br",NA,0.238095238095238,0.625,19,21
"154",33,10,100,NA,"reiter",NA,0.238095238095238,0.555555555555556,20,22
"155",33,100,100,NA,"old",NA,0.238095238095238,0.833333333333333,17,18
"156",33,100,100,NA,"br",NA,0.238095238095238,0.833333333333333,17,18
"157",33,100,100,NA,"reiter",NA,0.238095238095238,0.833333333333333,17,18
"158",33,1000,100,NA,"old",NA,0.333333333333333,0.875,15,16
"159",33,1000,100,NA,"br",NA,0.285714285714286,0.75,17,18
"160",33,1000,100,NA,"reiter",NA,0.285714285714286,0.857142857142857,16,17
"161",33,1,100,NA,NA,NA,0.3,0.24,33,35
"162",33,10,100,NA,"old",NA,0.3,0.857142857142857,15,20
"163",33,10,100,NA,"br",NA,0.35,0.875,14,18
"164",33,10,100,NA,"reiter",NA,0.35,0.875,14,18
"165",33,100,100,NA,"old",NA,0.45,0.9,12,15
"166",33,100,100,NA,"br",NA,0.45,1,11,14
"167",33,100,100,NA,"reiter",NA,0.45,0.9,12,15
"168",33,1000,100,NA,"old",NA,0.45,0.9,12,15
"169",33,1000,100,NA,"br",NA,0.4,0.888888888888889,13,17
"170",33,1000,100,NA,"reiter",NA,0.4,0.888888888888889,13,17
