"","p","m","alpha","run_time"
"225",90,100,0.1,117.668964147568
"226",90,100,0.1,117.901273488998
"227",90,100,0.1,117.154998779297
"228",90,100,0.1,117.508716583252
"229",90,100,0.1,117.182904005051
"230",90,100,0.1,117.522902011871
"231",90,1000,0.1,1177.07277536392
"232",90,1000,0.1,1176.5880010128
"233",90,1000,0.1,1177.04769015312
"234",90,1000,0.1,1177.28374433517
"235",90,1000,0.1,1176.79211711884
"236",90,1000,0.1,1176.83267641068
"237",90,1000,0.1,1177.37925958633
"238",90,1000,0.1,1178.62978124619
"239",90,1000,0.1,1176.65206885338
"240",90,1000,0.1,1176.3780901432
"241",80,1,0.01,0.10029673576355
"242",80,1,0.01,0.10323691368103
"243",80,1,0.01,0.108407258987427
"244",80,1,0.01,0.100726127624512
"245",80,1,0.01,0.108527898788452
"246",80,1,0.01,0.100794553756714
"247",80,1,0.01,0.102202653884888
"248",80,1,0.01,0.100247621536255
"249",80,1,0.01,0.101308584213257
"250",80,1,0.01,0.108861446380615
"251",80,10,0.01,0.299759149551392
"252",80,10,0.01,0.296165227890015
"253",80,10,0.01,0.296577215194702
"254",80,10,0.01,0.298137187957764
"255",80,10,0.01,0.306812524795532
"256",80,10,0.01,0.296487092971802
"257",80,10,0.01,0.297701597213745
"258",80,10,0.01,0.296856164932251
"259",80,10,0.01,0.298971176147461
"260",80,10,0.01,0.305016994476318
"261",80,100,0.01,2.41764521598816
"262",80,100,0.01,1.94291424751282
"263",80,100,0.01,1.95849943161011
"264",80,100,0.01,1.93273115158081
"265",80,100,0.01,1.94553542137146
"266",80,100,0.01,1.97884345054626
"267",80,100,0.01,1.95298027992249
"268",80,100,0.01,1.94967889785767
"269",80,100,0.01,1.94292521476746
"270",80,100,0.01,1.94704961776733
"271",80,1000,0.01,18.7048406600952
"272",80,1000,0.01,18.800726890564
"273",80,1000,0.01,18.781806230545
"274",80,1000,0.01,18.5261533260345
"275",80,1000,0.01,18.6510784626007
"276",80,1000,0.01,18.6340537071228
"277",80,1000,0.01,18.6237859725952
"278",80,1000,0.01,18.8081629276276
"279",80,1000,0.01,18.6672348976135
"280",80,1000,0.01,18.6357853412628
"281",80,1,0.05,0.102257013320923
"282",80,1,0.05,0.349208354949951
"283",80,1,0.05,0.0998330116271973
"284",80,1,0.05,0.100096225738525
"285",80,1,0.05,0.107288599014282
"286",80,1,0.05,0.099489688873291
"287",80,1,0.05,0.107491731643677
"288",80,1,0.05,0.0998203754425049
"289",80,1,0.05,0.100476741790771
"290",80,1,0.05,0.10660982131958
"291",80,10,0.05,1.26599073410034
"292",80,10,0.05,1.28245568275452
"293",80,10,0.05,1.27210831642151
"294",80,10,0.05,1.29505944252014
"295",80,10,0.05,1.26728701591492
"296",80,10,0.05,1.28459787368774
"297",80,10,0.05,1.26920700073242
"298",80,10,0.05,1.29976963996887
"299",80,10,0.05,1.27055358886719
"300",80,10,0.05,1.28180623054504
"301",80,100,0.05,10.5774660110474
"302",80,100,0.05,10.5227644443512
"303",80,100,0.05,10.7692754268646
"304",80,100,0.05,10.5287184715271
"305",80,100,0.05,10.472912311554
"306",80,100,0.05,10.5259482860565
"307",80,100,0.05,10.7506875991821
"308",80,100,0.05,10.4490242004395
"309",80,100,0.05,10.4732122421265
"310",80,100,0.05,10.7595584392548
"311",80,1000,0.05,106.235068082809
"312",80,1000,0.05,105.846521854401
"313",80,1000,0.05,106.326642751694
"314",80,1000,0.05,106.234600067139
"315",80,1000,0.05,106.387676477432
"316",80,1000,0.05,106.462284326553
"317",80,1000,0.05,106.426918029785
"318",80,1000,0.05,106.202482461929
"319",80,1000,0.05,106.19428563118
"320",80,1000,0.05,106.443549394608
"321",80,1,0.1,0.100605726242065
"322",80,1,0.1,0.101706504821777
"323",80,1,0.1,0.108319520950317
"324",80,1,0.1,0.100249528884888
"325",80,1,0.1,0.10853910446167
"326",80,1,0.1,0.102349996566772
"327",80,1,0.1,0.10036826133728
"328",80,1,0.1,0.107046365737915
"329",80,1,0.1,0.100196838378906
"330",80,1,0.1,0.111977100372314
"331",80,10,0.1,9.76296949386597
"332",80,10,0.1,9.29886651039124
"333",80,10,0.1,9.34144926071167
"334",80,10,0.1,9.41089677810669
"335",80,10,0.1,9.52520489692688
"336",80,10,0.1,9.27051448822021
"337",80,10,0.1,9.31026196479797
"338",80,10,0.1,9.39116859436035
"339",80,10,0.1,9.45643258094788
"340",80,10,0.1,9.27390551567078
"341",80,100,0.1,81.0973365306854
"342",80,100,0.1,80.788741350174
"343",80,100,0.1,81.1272583007812
"344",80,100,0.1,80.8489475250244
"345",80,100,0.1,81.0989689826965
"346",80,100,0.1,81.0204520225525
"347",80,100,0.1,81.3675696849823
"348",80,100,0.1,81.032782793045
"349",80,100,0.1,81.1162478923798
"350",80,100,0.1,80.9155025482178
"351",80,1000,0.1,835.071400642395
"352",80,1000,0.1,834.604142904282
"353",80,1000,0.1,834.13941526413
"354",80,1000,0.1,834.781636238098
"355",80,1000,0.1,834.866245746613
"356",80,1000,0.1,835.126004934311
"357",80,1000,0.1,834.208009958267
"358",80,1000,0.1,835.248999595642
"359",80,1000,0.1,835.47101688385
"360",80,1000,0.1,834.219793319702
"361",70,1,0.01,0.0772578716278076
"362",70,1,0.01,0.0791792869567871
"363",70,1,0.01,0.0850248336791992
"364",70,1,0.01,0.0758209228515625
"365",70,1,0.01,0.0788040161132812
"366",70,1,0.01,0.320975303649902
"367",70,1,0.01,0.0762264728546143
"368",70,1,0.01,0.0782804489135742
"369",70,1,0.01,0.0853211879730225
"370",70,1,0.01,0.0762882232666016
"371",70,10,0.01,0.451088666915894
"372",70,10,0.01,0.212735176086426
"373",70,10,0.01,0.22001051902771
"374",70,10,0.01,0.220601797103882
"375",70,10,0.01,0.219856739044189
"376",70,10,0.01,0.221216917037964
"377",70,10,0.01,0.218529939651489
"378",70,10,0.01,0.219911575317383
"379",70,10,0.01,0.220904350280762
"380",70,10,0.01,0.220780372619629
"381",70,100,0.01,1.4460883140564
"382",70,100,0.01,1.46100234985352
"383",70,100,0.01,1.44262433052063
"384",70,100,0.01,1.45247054100037
"385",70,100,0.01,1.46499180793762
"386",70,100,0.01,1.45957899093628
"387",70,100,0.01,1.46465039253235
"388",70,100,0.01,1.46098017692566
"389",70,100,0.01,1.47586393356323
"390",70,100,0.01,1.45644330978394
"391",70,1000,0.01,13.7197227478027
"392",70,1000,0.01,13.8440282344818
"393",70,1000,0.01,13.9019191265106
"394",70,1000,0.01,13.7769725322723
"395",70,1000,0.01,13.8915019035339
"396",70,1000,0.01,13.7779564857483
"397",70,1000,0.01,13.8923351764679
"398",70,1000,0.01,13.7489659786224
"399",70,1000,0.01,13.8975145816803
"400",70,1000,0.01,13.8277955055237
"401",70,1,0.05,0.0774750709533691
"402",70,1,0.05,0.0785708427429199
"403",70,1,0.05,0.0859360694885254
"404",70,1,0.05,0.0775585174560547
"405",70,1,0.05,0.0776965618133545
"406",70,1,0.05,0.0843226909637451
"407",70,1,0.05,0.0764081478118896
"408",70,1,0.05,0.0773489475250244
"409",70,1,0.05,0.0852603912353516
"410",70,1,0.05,0.0765659809112549
"411",70,10,0.05,0.763798952102661
"412",70,10,0.05,0.751300096511841
"413",70,10,0.05,0.777273416519165
"414",70,10,0.05,0.759828567504883
"415",70,10,0.05,0.754289627075195
"416",70,10,0.05,0.800793170928955
"417",70,10,0.05,0.787690162658691
"418",70,10,0.05,0.783764362335205
"419",70,10,0.05,0.760820150375366
"420",70,10,0.05,0.986433506011963
"421",70,100,0.05,6.1806857585907
"422",70,100,0.05,6.16133737564087
"423",70,100,0.05,6.16926670074463
"424",70,100,0.05,6.25993275642395
"425",70,100,0.05,6.33068132400513
"426",70,100,0.05,6.13924694061279
"427",70,100,0.05,6.12082076072693
"428",70,100,0.05,6.11792540550232
"429",70,100,0.05,6.15690326690674
"430",70,100,0.05,6.33790993690491
"431",70,1000,0.05,61.719518661499
"432",70,1000,0.05,61.8318305015564
"433",70,1000,0.05,61.3510353565216
"434",70,1000,0.05,61.463721036911
"435",70,1000,0.05,61.5517008304596
"436",70,1000,0.05,61.708676815033
"437",70,1000,0.05,61.4565722942352
"438",70,1000,0.05,61.5729894638062
