"network","p","m","n","epoch","df_correction_method","prop_miss","recall","precision","hamming_distance","shd"
"ecoli",46,10,25,3,"old",0.5,0.533333333333333,0.571428571428571,16,20
"ecoli",46,10,25,3,"br",0.5,0.488888888888889,0.578947368421053,18,21
"ecoli",46,10,25,3,"reiter",0.5,0.488888888888889,0.578947368421053,18,21
"ecoli",46,10,25,4,"old",0.5,0.6,0.705882352941177,12,16
"ecoli",46,10,25,4,"br",0.5,0.6,0.666666666666667,13,16
"ecoli",46,10,25,4,"reiter",0.5,0.6,0.666666666666667,13,16
"ecoli",46,10,25,5,"old",0.5,0.585365853658537,0.666666666666667,11,12
"ecoli",46,10,25,5,"br",0.5,0.585365853658537,0.6,13,14
"ecoli",46,10,25,5,"reiter",0.5,0.585365853658537,0.6,13,14
"ecoli",46,10,25,6,"old",0.5,0.54,0.613636363636364,18,18
"ecoli",46,10,25,6,"br",0.5,0.44,0.6875,20,24
"ecoli",46,10,25,6,"reiter",0.5,0.48,0.705882352941177,19,23
"ecoli",46,10,25,7,"old",0.5,0.666666666666667,0.666666666666667,12,15
"ecoli",46,10,25,7,"br",0.5,0.619047619047619,0.619047619047619,14,17
"ecoli",46,10,25,7,"reiter",0.5,0.595238095238095,0.625,15,17
"ecoli",46,10,25,8,"old",0.5,0.547619047619048,0.676470588235294,17,20
"ecoli",46,10,25,8,"br",0.5,0.547619047619048,0.676470588235294,17,20
"ecoli",46,10,25,8,"reiter",0.5,0.547619047619048,0.676470588235294,17,20
"ecoli",46,10,25,9,"old",0.5,0.659090909090909,0.69047619047619,11,13
"ecoli",46,10,25,9,"br",0.5,0.681818181818182,0.652173913043478,11,14
"ecoli",46,10,25,9,"reiter",0.5,0.681818181818182,0.652173913043478,11,14
"ecoli",46,10,25,10,"old",0.5,0.4375,0.538461538461538,13,15
"ecoli",46,10,25,10,"br",0.5,0.4375,0.466666666666667,15,17
"ecoli",46,10,25,10,"reiter",0.5,0.4375,0.466666666666667,15,17
"ecoli",46,10,25,1,"old",0.9,0.395348837209302,0.566666666666667,18,21
"ecoli",46,10,25,1,"br",0.9,0.325581395348837,0.538461538461538,20,24
"ecoli",46,10,25,1,"reiter",0.9,0.325581395348837,0.538461538461538,20,24
"ecoli",46,10,25,2,"old",0.9,0.475,0.59375,20,24
"ecoli",46,10,25,2,"br",0.9,0.45,0.529411764705882,21,26
"ecoli",46,10,25,2,"reiter",0.9,0.45,0.529411764705882,21,26
"ecoli",46,10,25,3,"old",0.9,0.4,0.642857142857143,17,20
"ecoli",46,10,25,3,"br",0.9,0.4,0.5625,19,21
"ecoli",46,10,25,3,"reiter",0.9,0.355555555555556,0.533333333333333,20,22
"ecoli",46,10,25,4,"old",0.9,0.27906976744186,0.4,27,30
"ecoli",46,10,25,4,"br",0.9,0.209302325581395,0.375,28,31
"ecoli",46,10,25,4,"reiter",0.9,0.209302325581395,0.346153846153846,29,32
"ecoli",46,10,25,5,"old",0.9,0.459459459459459,0.708333333333333,17,20
"ecoli",46,10,25,5,"br",0.9,0.459459459459459,0.653846153846154,18,21
"ecoli",46,10,25,5,"reiter",0.9,0.459459459459459,0.708333333333333,17,20
"ecoli",46,10,25,6,"old",0.9,0.30952380952381,0.65,24,27
"ecoli",46,10,25,6,"br",0.9,0.285714285714286,0.6,24,28
"ecoli",46,10,25,6,"reiter",0.9,0.285714285714286,0.545454545454545,25,28
"ecoli",46,10,25,7,"old",0.9,0.391304347826087,0.642857142857143,21,24
